Name,Start-Date,End-Date
Ottawa Youth Orchestra Academy Mini Concert,06/05/2018,06/05/2018
A Christmas Journey,09/12/2017,09/12/2017
FOPLA Mammoth Book sale,08/12/2018,08/12/2018
Ottawa Sound Wave Hosted by @HWayz,07/07/2017,07/07/2017
Make-A-Wish Rope For Hope,03/06/2017,03/06/2017
Rise Up Singing Voices Together,21/04/2018,21/04/2018
Make Believe - Magic of your Mind,10/11/2018,10/11/2018
Fluid Art Exhibit by Raelene Bergen Harder,22/06/2018,22/06/2018
Celebrate Africa!,11/02/2018,11/02/2018
Tribute to Leonard Cohen in Russian,28/01/2018,28/01/2018
Opera Candy : The Gourmet Adventures of Hansel and Gretel,24/03/2019,24/03/2019
Makers at the Museum: Mother’s Day Relaxation Workshop,13/04/2018,13/05/2018
Ottawa Canada-China Film festival,14/11/2018,05/12/2018
Re[place] Re[collect] Book Launch,22/10/2017,22/10/2017
Ottawa Showcase Volume 2,07/12/2018,07/12/2018
Meet the 2017 GGBooks Winners in Ottawa!,30/11/2017,30/11/2017
Romeo & Juliet,21/07/2017,29/07/2017
Ballade transcanadienne,25/10/2018,25/10/2018
Summer Solstice Indigenous Festival and Competition Pow Wow 2018,21/06/2018,24/06/2018
Japan Film Festival: Kimi wa iiko (Being Good),04/11/2017,04/11/2017
Capital Catwalk 2019,02/02/2019,02/02/2019
Blink,04/04/2018,14/04/2018
Steve's 1926 Ottawa Skate,26/01/2019,26/01/2019
7th Annual New Year's Eve Comedy Night - Show only,31/12/2017,31/12/2017
A+ Exhibition,16/03/2018,13/04/2018
"Emanuel Ax’s ""Emperor Concerto""",23/05/2018,24/05/2018
Family Day on the Farm,19/02/2018,19/02/2018
Ballet Wild Grass,29/09/2017,29/09/2017
Strings!,27/05/2017,27/05/2017
Office Hours by Norm Foster,17/11/2017,25/11/2017
Canada Day at the National Arts Centre,01/07/2017,02/07/2017
Halloween Hijinks,29/10/2017,29/10/2017
An Evening of Laughter,13/07/2018,13/07/2018
Ezra Jordan Tour 2018,02/02/2018,02/02/2018
Victorian High Tea Party,01/10/2017,01/10/2017
613Flea,21/04/2018,21/04/2018
White Glove Tour,01/07/2017,31/08/2017
René Price - The Art of City Building,12/07/2018,12/07/2018
Royal Wood with special guest Elise LeGrow,01/12/2018,01/12/2018
Bullied to Breaking Point - Film Premiere,30/05/2018,30/05/2018
An evening with Kenyan Peacemaker Alice Wairimu Nderitu,16/11/2017,16/11/2017
Amazing Strings Around the World,08/04/2018,08/04/2018
¡Fiesta Latina! - Latin American Film Festival Launch Party,12/04/2017,12/04/2017
Fisher Park Christmas Craft Market,02/12/2017,02/12/2017
"Kahise, Kubu na Kazoza",16/06/2018,16/06/2018
Orléans Craft Beer Festival,07/06/2018,09/06/2018
Doors Open Ottawa 2017,03/06/2017,04/06/2017
Josée Desjardins: My Mother’s Dress and My Father’s Pipes,19/04/2018,08/05/2018
Sir John A. MacDonald - The Musical,02/11/2017,04/11/2017
Forum Lecture: The Small Architectural Practice,19/11/2018,19/11/2018
2018 Petro-Canada Sport Leadership Conference,08/11/2018,10/11/2018
Ciné-Discussion Night with Marie-Josée Massicotte,15/11/2017,15/11/2017
"Spring is in the Art, fine art show and sale",28/04/2018,06/05/2018
We Remember,05/11/2018,05/11/2018
Belgium: Baden Baden (EUFF 2017),26/11/2017,26/11/2017
Conférence - Découverte du fonds Église catholique-chrétienne,28/05/2017,28/05/2017
Westfest 2017,02/06/2017,04/06/2017
007 Casino Night Fundraiser,29/06/2018,30/06/2018
Canterbury High School Community Fun Fair,05/05/2017,05/05/2017
Lauren & Amanda Do It,24/11/2017,25/11/2017
007 Casino Night Fundraiser,18/08/2018,19/08/2018
"Ciné-club - Fidelio, L'odyssée d'Alice",13/10/2017,13/10/2017
Hop into Spring,31/03/2018,31/03/2018
Sand Mandala 2018,11/10/2018,13/10/2018
Opening Reception: Pierre Richardson - What's Big and Small at the Same Time?,30/08/2018,30/08/2018
Rob Frayne's Drumswamp,03/03/2018,03/03/2018
Hello Studios Launch Party,11/05/2018,11/05/2018
Boxing Day Comedy Blowout!,26/12/2018,26/12/2018
Christmas Craft Market,17/11/2018,02/12/2018
Matthew Good,02/03/2019,02/03/2019
Red and White Ball,12/07/2018,12/07/2018
Great Big smalls XIII,28/11/2017,31/12/2017
Strum,08/02/2019,08/02/2019
Fourteenth annual National Jewellery Student Competition,24/08/2017,24/08/2017
Canada Day at the Supreme Court of Canada,01/07/2017,01/07/2017
Doors Open Ottawa 2018 - Cumberland Heritage Village Museum,02/06/2018,03/06/2018
Doug Paisley,30/03/2019,30/03/2019
Young At Art: Trinity Art Gallery,25/04/2019,18/05/2019
Canada 150 Maker Market,02/07/2017,02/07/2017
Canada Day in the Park: 150 Years in Pineview,01/07/2017,01/07/2017
Roddy Ellias and Lorne Lofsky concert,28/04/2017,28/04/2017
Der Rosenkavalier,03/02/2018,03/02/2018
Fête Frissons,03/02/2018,03/02/2018
Latvia: Mellow Mud (EUFF 2017),24/11/2017,24/11/2017
Impromptu - Harp Recital,10/06/2018,10/06/2018
ORAPEX - Ottawa's National Stamp Show,05/05/2018,05/05/2018
Ottawa Grassroots Festival,26/04/2018,29/04/2018
Finland’s Rajaton In Concert,06/10/2017,06/10/2017
Ateliers de danse intergénérationnels ado et 60 ans +,24/05/2017,26/05/2017
The Ennis Sisters,07/04/2019,07/04/2019
The Walrus Talks,28/11/2017,28/11/2017
Algonquin Park: Natural Histories,04/07/2017,30/07/2017
Doors Open Ottawa 2018 - Pinhey's Point Historic Site,02/06/2018,03/06/2018
Much Ado About Nothing,16/11/2018,24/11/2018
Fourteenth Annual Natsu Matsuri Summer Festival,22/07/2018,22/07/2018
Sir András Schiff,23/10/2017,23/10/2017
Ottawa Geek Market,30/09/2017,01/10/2017
Market Days - Pop-up Shop,12/05/2018,12/05/2018
The Music of Star Wars,21/12/2018,23/12/2018
"Joey Wright - Country, Music Tour",14/11/2017,14/11/2017
Compagnie ODD,21/09/2017,22/09/2017
Family Day at the Museum,19/02/2018,19/02/2018
Romeo & Juliet,13/07/2017,27/07/2017
Resonations,06/03/2018,01/04/2018
Education for Africa Family Variety Show,15/10/2017,15/10/2017
WE Day Canada,02/07/2017,02/07/2017
Canada Parks Day,15/07/2017,15/07/2017
Doin' it Right: Correct Grammar and Punctuation,21/09/2017,21/09/2017
Ready for Rain Workshops,18/10/2018,20/10/2018
Achromatically Inclined Opening Reception,25/11/2018,25/11/2018
Arise – Rise of the Indie-author,07/07/2018,07/07/2018
Scotiabank Giller Prize: Between the Pages Author Panel,01/11/2017,01/11/2017
The Nutcracker ,08/12/2017,10/12/2017
St Helen's Old Fashioned Christmas Bazaar,04/11/2017,04/11/2017
Faces of Humanity,19/05/2018,23/05/2018
Sogetsu Ikebana Exhibition,23/06/2018,24/06/2018
Teal Tailgate Party 2017,02/09/2017,02/09/2017
Beijing Tourism,08/10/2017,08/10/2017
Art in the Park,12/08/2017,12/08/2017
TIMEKODE: with Special Guest DJ Ruby Jane ,21/04/2017,22/04/2017
Shamrock & Roll,17/03/2018,18/03/2018
"Noyze, Hoozbah, Josephine Leone",01/03/2018,01/03/2018
Eternal Light,17/03/2018,17/03/2018
Nursing a Grudge,13/08/2017,20/08/2017
Festival Flamenco Capitale 2018,14/06/2018,16/06/2018
The Telegrams at Irene's Pub,28/08/2017,28/08/2017
Estival-Celebrating Summer,02/06/2017,02/06/2017
Bobby Bazini,30/05/2019,30/05/2019
Ciné-club - Le roi et l'oiseau,18/12/2017,18/12/2017
Japan Film Festival: Pekorosu no haha ni ai ni iku (Pecoross’ Mother and Her Days),10/11/2017,10/11/2017
JW-Jones cd release party,28/09/2018,28/09/2018
Navigating the Complexities of Health Care,12/05/2018,12/05/2018
Justin Duhaime Quartet plays the music of Django Reinhardt,28/10/2018,28/10/2018
Orkidstra Holiday Concert,18/12/2018,18/12/2018
Twenty-Five: Ireland’s National Card Game,20/05/2018,20/05/2018
Ireland: In the Name of Peace - John Hume in America (EUFF 2017),26/11/2017,26/11/2017
"Water Conversations with Karen Lawson: ""Water, Indigenous Women's Health, and Environmental Violence""",13/12/2017,13/12/2017
Casino Lac-Leamy Sound of Light Fireworks at the Bytown Museum,04/08/2018,18/08/2018
Singalong Sound of Music,29/12/2018,30/12/2018
Queen Bee Party,19/08/2017,19/08/2017
The Brothers Grimm Spectaculathon ,16/11/2017,19/11/2017
Firefighters’ Day,02/06/2018,02/06/2018
detroitus masks,05/03/2018,05/03/2018
Opening Reception: Jennifer Anne Norman - Forest for the Trees ,26/04/2018,26/04/2018
Ben Globerman – Call to Prayer,17/01/2018,14/03/2018
Mono Con Gallinas (Open Wound) - Latin American Film Festival,10/05/2017,10/05/2017
The Ottawa Bachata Festival 2019,15/02/2019,15/02/2019
Strawberry Social,06/07/2017,06/07/2017
Book Signing with Michel Weatherall,14/04/2018,14/04/2018
ITR Theatre Presents,09/11/2018,18/11/2018
Twin Flames: Tracks in the Snow ,08/10/2017,08/10/2017
Uncork the Cure,19/10/2017,19/10/2017
Ottawa Welcomes the World: Japan Festival,15/10/2017,15/10/2017
Brahms’s First Piano Concerto,04/04/2018,06/04/2018
A Renée Landry Christmas: The Best of the Holidays ,16/12/2017,16/12/2017
Monster Making! Sculpture and Storytelling with Art in Jest,19/04/2018,19/04/2018
TimeLess,11/10/2018,12/10/2018
Lauren & Amanda Do It,08/06/2017,16/06/2017
Arsenic and Old Lace,25/10/2017,11/11/2017
Ricky Skaggs and Kentucky Thunder,17/10/2018,17/10/2018
Dief the Chief: October 62,03/12/2017,03/12/2017
The Penultimate Problem of Sherlock Holmes,23/11/2018,01/12/2018
'Canada 150' Spring Concert 2017,30/04/2017,30/04/2017
Emotional Design Psychology & Neuroscience,17/05/2018,17/05/2018
Florian Hoefner Trio,19/03/2019,19/03/2019
5K Foam Fest,28/07/2018,28/07/2018
Verse,06/04/2017,07/04/2017
Peter Pan,12/05/2018,12/05/2018
Blackburn Hamlet Cancer Chase,14/10/2018,14/10/2018
True North,16/09/2017,16/09/2017
Tastes of Wellington West,16/09/2017,16/09/2017
Alexandra Stréliski,22/03/2019,22/03/2019
Peanut Butter & Dragon Book Signing,24/06/2017,24/06/2017
Heritage Day,20/02/2018,20/02/2018
Crystal Beshara - Songs of the Sea,28/04/2017,20/05/2017
Ice Cream Festival ,16/07/2017,16/07/2017
Gentiane MG Trio,28/03/2019,28/03/2019
Westboro Vintage Pop Up Shop,18/11/2017,18/11/2017
Ottawa Fire Truck Pull,28/10/2018,28/10/2018
Arteast: Mosaic,10/02/2019,19/03/2019
The Hidden Folk -  Faerie Lore in Music and Story Telling,22/04/2018,22/04/2018
Wapikoni Film Screening - Indigenous issues and traditions,14/11/2017,14/11/2017
Freedom's Halloween Bash,28/10/2017,28/10/2017
Wakefield - La Pêche Writers Festival,12/05/2017,14/05/2017
New Orford String Quartet,17/11/2018,17/11/2018
Celebrate the Season with Matt Duchene,14/12/2017,14/12/2017
Bad Axe Throwing’s Annual Holiday Fundraiser for Families in Need!,10/12/2017,10/12/2017
Roch Voisine,28/02/2019,28/02/2019
Holiday programming at the Canada Aviation and Space Museum,26/12/2017,07/01/2018
Kanata Art Club Christmas $100 and Under Sale,24/11/2018,25/11/2018
11th Annual Great Pumpkin Charity Ball,28/10/2017,28/10/2017
"BFGs, Lindbergh Babies and Destroyer Scence",12/08/2017,12/08/2017
RCMP Canadian Sunset Ceremonies - Canada 150 edition,23/06/2017,25/06/2017
Heritage Ottawa Walking Tour: Lowertown East,20/08/2017,20/08/2017
Doors Open Ottawa 2018 - Central,02/06/2018,03/06/2018
GoSalsa 12th Christmas Gala Extravaganza,17/11/2018,18/11/2018
Animals Rock 2017,21/07/2017,21/07/2017
Kaleigh Watts - Hung Me Dry Album Release Show,21/05/2017,21/05/2017
Amazing Thailand Festival 2018,05/08/2018,05/08/2018
Light the Night Walk,21/10/2017,21/10/2017
Tales of a Charlie Brown Christmas,12/12/2017,12/12/2017
Taiwan Film Nights: Go Grandriders,03/11/2017,03/11/2017
The Vanished Elephant (Peru) - Latin American Film Festival,12/05/2017,12/05/2017
Ottawa Scandalous,26/10/2017,26/10/2017
Charly in the Desert,10/02/2018,10/02/2018
FOPLA Mammoth Book sale,15/09/2018,15/09/2018
Seven: A documentary play,24/04/2017,24/04/2017
Nelly Matorina : Don't Forget to Call,27/07/2018,28/07/2018
North of Nightfall Screening,23/08/2018,23/08/2018
Presentation and Book signing by Sculptor Ruth Abernethy,09/07/2017,09/07/2017
Christmas in the Valley Artisan Show,03/11/2018,04/11/2018
Nancy Halpin: River's Edge,18/10/2018,20/11/2018
Propeller Dance Community Day 2018,02/12/2018,02/12/2018
The Doo Wop Project,15/03/2018,17/03/2018
Lucid Dreams,25/05/2018,10/06/2018
The Ottawa Home and Remodelling Show,17/01/2019,20/01/2019
Gutsy Walk,04/06/2017,04/06/2017
Songbird,03/06/2017,03/06/2017
Kabeshinàn Minitig Pavillion Exhibit,07/07/2017,30/11/2017
JW-Jones,08/09/2017,08/09/2017
Russian Masterpieces,02/05/2018,03/05/2018
Lang Lang in Recital,27/02/2018,27/02/2018
Break Free 5K,17/06/2017,17/06/2017
SouthAsianFest,11/08/2017,20/08/2017
She's The Change,24/03/2018,24/03/2018
leMeow and Crystalena,08/06/2018,08/06/2018
Vernissage: Longevity - 2017 Additions to the City of Ottawa Art Collection,16/11/2017,16/11/2017
Mid-Winter Challenge,02/02/2019,16/02/2019
Data Day 5.0,27/03/2018,27/03/2018
Erth's Prehistoric Aquarium Adventure,28/03/2019,28/03/2019
"Ginny, Casa Lagarto, Bitter North",01/12/2018,01/12/2018
Curiosity on Stage - Let's do laundry like it's 1918! Why do curators collect artifacts?,02/06/2018,02/06/2018
Artist Talk and Walk About - René Price – The Art of City Building,19/08/2018,19/08/2018
"Fact of Fiction: Gossip, scandals and scantily clad puppies! ",24/07/2018,26/07/2018
YogiWino Summer Finale,16/09/2017,16/09/2017
Beauty and the Beast Pantomime,09/11/2017,12/11/2017
Hanging Terrarium Workshop,23/03/2018,23/03/2018
Authentic Wreath Making Workshop,27/11/2018,27/11/2018
Beethoven’s Ninth,20/09/2017,21/09/2017
Mammoth book sale,20/01/2018,20/01/2018
Mélanie E. - The Year I Became Me,27/05/2018,27/05/2018
Ask Women Anything - Women Disrupting the Film Landscape,31/05/2018,31/05/2018
Jordan Seal - Wealth of the Eternal Garden ,22/03/2018,24/07/2018
Canadian Liver Foundation LIVERight Gala,11/11/2017,11/11/2017
Science Odyssey Funfest,13/05/2017,13/05/2017
The GCTC Prologue,12/04/2017,12/04/2017
The Steve Berndt Quartet,24/11/2017,24/11/2017
PAF-FAS Open House                                                                                                                                                          and Artist Research and Development Venue launch ,01/06/2017,04/06/2017
Odawa's Annual Aboriginal Art Auction,25/11/2017,25/11/2017
Just About Everything,01/08/2017,03/09/2017
Your Inner Engineer: Bridge Building,20/05/2018,20/05/2018
Close to You: Celebrating the Music of the Carpenters,10/11/2018,10/11/2018
Popular Mechanics,18/06/2017,18/06/2017
Le Vent du Nord,29/03/2019,29/03/2019
Festa Italiana,14/04/2018,14/04/2018
TEDxKanata,01/03/2018,01/03/2018
Mischa Maisky,08/05/2019,08/05/2019
Outside I'm A Giant,02/02/2019,02/02/2019
"Prévert, Piano and Poetry (Season 2) - Alexandre Prévert",31/03/2018,31/03/2018
Lunch and Learn Talk with Alex Benay on Canadian Failures,04/12/2017,04/12/2017
Atomic Love - A Touring Wine and Cheese Tasting,16/02/2019,16/02/2019
Canada Day at the Ottawa Rowing Club,01/07/2017,01/07/2017
Christmas in Kanata,16/12/2017,16/12/2017
Haunt Nights,18/10/2018,20/10/2018
Angélie’s Shoes,14/10/2017,14/10/2017
Opening Reception: Jordan Seal - Wealth of the Eternal Garden ,26/04/2018,26/04/2018
Nathalie Quagliotto - Safety Measures,07/02/2019,10/04/2019
Fifty-Five Plus Lifestyle Show,21/09/2018,22/09/2018
Johnny Reid: Home for the Holidays with the NAC Orchestra,21/12/2018,21/12/2018
The Sorority: Pledge Tour,23/05/2018,23/05/2018
Take Care Healthy Mindset,14/10/2017,14/10/2017
Opening Reception: Cheryl Pagurek – Fragile,11/10/2018,11/10/2018
All That Jazz,04/07/2018,04/07/2018
Historic Places Day,08/07/2017,08/07/2017
An Inspector Calls,10/01/2018,27/01/2018
Australian Blues Master - Lloyd Spiegel,01/09/2017,01/09/2017
Like A Boss EP Release ,19/01/2019,19/01/2019
Longfields Manor Spring Sale,12/05/2018,12/05/2018
Clara Kim - Passion within White Space,14/04/2018,08/06/2018
Tea With A Side of Holly,16/12/2018,16/12/2018
Inspirations Art Show and Sale,18/11/2017,19/11/2017
"A World of Carols, Cantiamo Choirs of Ottawa Concert",16/12/2018,16/12/2018
"Vernissage: Something old, something new",07/12/2018,07/12/2018
Romeo & Juliet,22/07/2017,22/07/2017
Made in Cuba: Lizt Alfonso Dance Cuba,22/02/2019,22/02/2019
Don Brownrigg and Kim Harris,18/04/2019,18/04/2019
Hibernal Incantations - Dual CD Release,16/12/2017,17/12/2017
Old Homes Earth Day Event,21/04/2018,21/04/2018
Heritage Walk - Chinatown ,23/06/2018,23/06/2018
JW-Jones,10/11/2017,10/11/2017
4th ODD Dance Class Marathon FUNdraiser,29/04/2017,29/04/2017
Nomad'Stones,01/02/2019,01/02/2019
BAPS Diwali and Annakut Celebration,18/11/2018,18/11/2018
Move Over Mrs. Markham,06/06/2018,23/06/2018
Canadian Centennial Choir 50th anniversary concert ,07/05/2017,07/05/2017
The Chris Timms Comedy Cabaret,19/11/2017,19/11/2017
Winter Wonderland Vintage Pop-up,08/12/2018,08/12/2018
Nicholas Crombach - Captured,12/10/2017,19/11/2017
Mario Cerroni: Double Vision,18/11/2018,10/02/2019
Glad Tidings,03/12/2017,03/12/2017
Vintage Car Show,17/06/2018,17/06/2018
Princess and Superhero Dance Party ,11/02/2018,11/02/2018
Fifty-Five Plus Lifestyle Show,15/09/2017,16/09/2017
Tour with the artist (in French): José Luis Torres – De l'horizontal au vertical (From Horizontal to Vertical),28/05/2017,28/05/2017
Bazaar and Art Show,27/10/2018,27/10/2018
Heritage Power,28/05/2017,28/05/2017
Sibelius’s First Symphony,03/10/2017,03/10/2017
Outrage: The McGonigle Murders,22/09/2017,30/09/2017
Megan Jerome,02/03/2018,02/03/2018
Ottawa’s Small Business eSAX Networking Tradeshow,18/10/2017,18/10/2017
Eight Decades of Fashion,02/03/2019,02/03/2019
Fall into Vintage at Makerspace north,15/09/2018,15/09/2018
Cabane à sucre,01/02/2018,29/04/2018
Haunted House on the Hill,12/10/2018,27/10/2018
Sanjay Sundram: Silent Cities,23/08/2018,18/09/2018
Mozart à la Haydn,10/05/2018,11/05/2018
Cycle for Sight,19/08/2018,19/08/2018
Sons of Pluto at Backdrop with special guest Crystalena,26/08/2017,26/08/2017
Mud Hero,04/06/2017,04/06/2017
Kira Isabella,17/05/2018,17/05/2018
Archaeology Month: Behind-the-scenes Facility Tours,01/08/2018,29/08/2018
Justin Duhaime Gypsy Jazz Duo with Andrew Tesolin,20/10/2017,24/11/2017
 Flower Nite,20/06/2017,20/06/2017
Indigenous Writers’ Gathering,05/06/2018,05/06/2018
Lest We Forget,11/11/2017,11/11/2017
Amos the Transparent,05/04/2019,05/04/2019
Kitchi Blanket Exercise,02/06/2017,02/06/2017
TC3 Breakthrough Concert,06/08/2017,06/08/2017
Mikhail Laxton Band,23/06/2018,23/06/2018
Psychology for Digital Behaviour Change,14/05/2018,14/05/2018
Canada Day at the Canadian Museum of Nature,01/07/2017,01/07/2017
Rights & responsibility: public forum on environmental rights in Canada,31/05/2017,31/05/2017
Ottawa Parent & Child Expo,21/04/2018,22/04/2018
Ottawa Wine and Food Festival ,03/11/2017,05/11/2017
Red Bull Global Rallycross Ottawa,17/06/2017,18/06/2017
Horaceville Harvest,01/09/2018,22/09/2018
FOPLA Monthly Mammoth Book sale,20/10/2018,20/10/2018
Touch a Truck,10/06/2018,10/06/2018
Beethoven on Record,02/12/2017,02/12/2017
Air Guitar Ottawa 2018 Championships,12/05/2018,12/05/2018
Ottawa LIVERight Gala,22/11/2018,22/11/2018
Megan Jerome and the Together Ensemble,20/05/2017,20/05/2017
RICHard SMOLinski - Scrutinearsighted,07/09/2017,07/09/2017
The Great India Festival 2018,10/08/2018,12/08/2018
"Film screening - ""Le sens de la fête"" (2017)",15/02/2018,15/02/2018
Gatineau Riverfest,28/07/2018,28/07/2018
Animals Rock 2017!,22/09/2017,22/09/2017
30th Annual Nepean Ringette Tournament,16/11/2017,19/11/2017
Classic Albums Live: Rush - 2112,02/12/2017,02/12/2017
Music for a Sunday Afternoon,26/11/2017,26/11/2017
Simple Plan ,20/09/2017,20/09/2017
PD Day: Baseball in Nepean,08/06/2018,08/06/2018
Dueling Pianos,16/11/2018,16/11/2018
Singers Master Class,06/05/2017,06/05/2017
Knox Harvest Bazaar,28/10/2017,28/10/2017
Live Music with Jimmy Young and the Restless,26/08/2017,26/08/2017
Carp Farmers' Market,15/04/2017,02/12/2017
Makers at the Museum: A Plein Air Watercolour Workshop,09/06/2018,09/06/2018
Throwing Graceful Forms with Paula Murray,08/09/2018,08/09/2018
Wakefield Christmas Market,08/12/2018,08/12/2018
Culture Days,30/09/2017,01/10/2017
Sultans of String - Christmas Caravan,30/11/2017,30/11/2017
Rob Frayne's Dreamband 3,18/04/2018,18/04/2018
Tucker House Renewal Centre's 9th Annual Green Gala,04/11/2017,04/11/2017
Zukerman and Mozart,23/11/2017,24/11/2017
Vernissage: Thunderstruck,20/06/2018,20/06/2018
Canada Day at the Aviation and Space Museum,01/07/2018,01/07/2018
Eighth Annual New Year's Eve Comedy Night,31/12/2018,31/12/2018
EmbraceYou: Movie Screening + Panel Discussion,04/06/2017,04/06/2017
Playing It Forward for Wishes,22/07/2018,22/07/2018
Telfer 10 - Trivia Night,25/05/2017,25/05/2017
